"Species"
"trichilia pleeana"
"trichilia poeppigii"
"trichilia quadrijuga"
"trichilia septentrionalis"
"trichilia martiana"
"trichilia tuberculata"
"trichospermum galeottii"
"triplaris cumingiana"
"trophis racemosa"
"turnera panamensis"
"turpinia occidentalis"
"unidentified monitoreo_39"
"unidentified monitoreo_40"
"unidentified monitoreo_41_1"
"unidentified (sherman)"
"unidentified species"
"unonopsis sp.1"
"unonopsis sp.2"
"unonopsis peludo"
"unonopsis panamensis"
"unonopsis pittieri"
"unonopsis theobromifolia"
"unonopsis aff.veneficiorum"
"urera baccifera"
"urera caracasana"
"vantanea depleta"
"vatairea erythrocarpa"
"verbesina gigantea"
"verbesina lanata"
"vernonanthura patens"
"virola elongata"
"virola guatemalensis"
"virola koschnyi"
"virola macrocarpa"
"virola megacarpa"
"virola sebifera"
"virola multiflora"
"virola surinamensis"
"vismia baccifera"
"vismia billbergiana"
"vismia jefensis"
"vismia macrophylla"
"vitex cooperi"
"vitex cymosa"
"vochysia sp.1"
"vochysia ferruginea"
"vochysia guatemalensis"
"warszewiczia coccinea"
"welfia regia"
"wettinia quinaria"
"ximenia americana"
"xylopia aromatica"
"xylopia bocatorena"
"xylopia frutescens"
"xylopia macrantha"
"xylopia sericea"
"xylosma chlorantha"
"xylosma oligandra"
"zamia elegantissimia"
"zanthoxylum ekmanii"
"zanthoxylum panamense"
"zanthoxylum acuminatum"
"zanthoxylum setulosum"
"ziziphus chloroxylon"
"zuelania guidonia"
"zygia sp.1"
"zygia sp.2"
